SP,SPEC,CONF,COMMONNAME,SCINAME,SPEC6,CONF6,LANDBIRD
,BCSP,,Black-chinned Sparrow,Spizella atrogularis,SPIATG,*,TRUE
,FISP,,Field Sparrow,Spizella pusilla,SPIPUS,,TRUE
,BRSP,,Brewer's Sparrow,Spizella breweri,SPIBRE,,TRUE
,WOSP,,Worthen's Sparrow,Spizella wortheni,SPIWOR,,TRUE
,CRBR,,Costa Rican Brushfinch,Arremon costaricensis,ARRCOS,,TRUE
,BHBR,,Black-headed Brushfinch,Arremon atricapillus,ARRATR,,TRUE
,OBSP,,Orange-billed Sparrow,Arremon aurantiirostris,ARRAUR,,TRUE
,GSBR,,Green-striped Brushfinch,Arremon virenticeps,ARRVIR,,TRUE
,CCBR,,Chestnut-capped Brushfinch,Arremon brunneinucha,ARRBRU,,TRUE
,SFFI,,Sooty-faced Finch,Arremon crassirostris,ARRCRA,,TRUE
,FOSP,,Fox Sparrow,Passerella iliaca,PASILI,,TRUE
,ATSP,,American Tree Sparrow,Spizelloides arborea,SPIARB,,TRUE
,VOJU,,Volcano Junco,Junco vulcani,JUNVUL,,TRUE
,GUJU,,Guadalupe Junco,Junco insularis,JUNINS,,TRUE
,DEJU,,Dark-eyed Junco,Junco hyemalis,JUNHYE,,TRUE
+,SCJU,,Slate-colored Junco,Junco hyemalis  hyemalis,JUNHHY,,TRUE
+,WWJU,,White-winged Junco,Junco hyemalis aikeni,JUNHAI,,TRUE
+,ORJU,,Oregon Junco,Junco hyemalis oreganus,JUNHOR,,TRUE
+,PSJU,,Pink-sided Junco,Junco hyemalis mearnsi,JUNHME,,TRUE
+,GHJU,,Gray-headed Junco,Junco hyemalis caniceps,JUNHCA,,TRUE
+,RBJU,,Red-backed Junco,Junco hyemalis dorsalis,JUNHDO,,TRUE
,YEJU,,Yellow-eyed Junco,Junco phaeonotus,JUNPHA,,TRUE
,BAJU,,Baird's Junco,Junco bairdi,JUNBAI,,TRUE
,RCOS,*,Rufous-collared Sparrow,Zonotrichia capensis,ZONCAP,,TRUE
,WCSP,,White-crowned Sparrow,Zonotrichia leucophrys,ZONLEU,,TRUE
+,EWCS,,Eastern White-crowned Sparrow,Zonotrichia leucophrys leucophrys,ZONLLE,,TRUE
+,MWCS,,Mountain White-crowned Sparrow,Zonotrichia leucophrys oriantha,ZONLOR,,TRUE
+,GWCS,,Gambel's White-crowned Sparrow,Zonotrichia leucophrys gambelii,ZONLGA,,TRUE
+,PSWS,,Puget Sound White-crowned Sparrow,Zonotrichia leucophrys pugetensis,ZONLPU,,TRUE
+,NWCS,,Nuttall's White-crowned Sparrow,Zonotrichia leucophrys nuttalli,ZONLNU,,TRUE
+,WGSH,,White-cr. X Golden-cr. Sparrow Hybrid,Zonotrichia leucophrys x atricapilla,ZONLEA,,TRUE
,GCSP,,Golden-crowned Sparrow,Zonotrichia atricapilla,ZONATR,,TRUE
,HASP,,Harris's Sparrow,Zonotrichia querula,ZONQUE,,TRUE
,WTSP,,White-throated Sparrow,Zonotrichia albicollis,ZONALB,,TRUE
,SABS,*,Sagebrush Sparrow,Artemisiospiza nevadensis,ARTNEV,,TRUE
